Handle,Vendor,Title,Body (HTML),Vendor.1,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status,Marcas usadas,Modelos usados,Cilindrajes usados,Detalles por tag
reten-32-x-44-x-10-5-gn-125-bolsa-x-10-crown,100700145-1,"RETEN 32 X 44 X 10.5 GN-125 (BOLSA X 10) ""CROWN""",,100700145-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1486.0,0.0,shopify,0.0,deny,manual,16921.0,,True,True,100700145-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-30-x-40-5-x-10-5-libero-bolsa-x-10-crown,100700132-1,"RETEN 30 X 40 5 X 10.5 LIBERO (BOLSA X 10) ""CROWN""",,100700132-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1485.0,0.0,shopify,0.0,deny,manual,15860.0,,True,True,100700132-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-28-x-40-x-8-dt125k-bolsa-x-10-crown,100700128-1,"RETEN 28 X 40 X 8 DT125K (BOLSA X 10) ""CROWN""",,100700128-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1484.0,0.0,shopify,0.0,deny,manual,11670.0,,True,True,100700128-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-26-x-37-x-10-5-akt-110-bolsa-x-10-crown,100700110-1,"RETEN 26 X 37 X 10.5 AKT-110 (BOLSA X 10) ""CROWN""",,100700110-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1483.0,0.0,shopify,0.0,deny,manual,15383.0,,True,True,100700110-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-25-x-40-x-9-ax-100-bolsa-x-10-crown-1,100700100-1,"RETEN 25 X 40 X 9 AX-100 (BOLSA X 10) ""CROWN""",,100700100-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1482.0,0.0,shopify,0.0,deny,manual,11670.0,,True,True,100700100-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-22-x-32-x-5-boxer-bolsa-x-10-crown,100700086-1,"RETEN 22 X 32 X 5 BOXER (BOLSA X 10) ""CROWN""",,100700086-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1481.0,0.0,shopify,0.0,deny,manual,10397.0,,True,True,100700086-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-20-x-38-x-5-libero-110-bolsa-x-10-crown,100700081-1,"RETEN 20 X 38 X 5 LIBERO 110 (BOLSA X 10) ""CROWN""",,100700081-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1480.0,0.0,shopify,0.0,deny,manual,10026.0,,True,True,100700081-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-17-x-31-x7-boxer-bolsa-x-10-crown,100700058-1,"RETEN 17 X 31 X7 BOXER (BOLSA X 10) ""CROWN""",,100700058-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1479.0,0.0,shopify,0.0,deny,manual,9972.0,,True,True,100700058-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-17-x-29-x-5-eco100-bolsa-x-10-crown,100700056-1,"RETEN 17 X 29 X 5 ECO100 (BOLSA X 10) ""CROWN""",,100700056-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1478.0,0.0,shopify,0.0,deny,manual,8381.0,,True,True,100700056-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
reten-17-x-25-x-4-dt125k-bolsa-x-10-crown,100700051-1,"RETEN 17 X 25 X 4 DT125K (BOLSA X 10) ""CROWN""",,100700051-1,,Producto,"casa100, productos no fabricados, repuestos, Retén,",False,Title,Default Title,,,,,,,,1477.0,0.0,shopify,0.0,deny,manual,7448.0,,True,True,100700051-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos",NO,,"Productos, NO, Repuestos"
pinon-velocimetro-x-3-pcs-plastico-eco100-bolsa-x-10-crown,500012418-1,"PINON VELOCIMETRO X 3 PCS PLASTICO ECO100+ (BOLSA X 10) ""CROWN""",,500012418-1,,Producto,"andina, casa800, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1476.0,0.0,shopify,0.0,deny,manual,21165.0,,True,True,500012418-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Andina, Productos, Repuestos",NO,,"Andina, Productos, NO, Repuestos"
o-ring-culatin-pulsar-135ls-bolsa-x-10-crown-1,100012290-1,"O-RING CULATIN PULSAR-135LS (BOLSA X 10) ""CROWN""",,100012290-1,,Producto,"casa100, O-ring, productos no fabricados, repuestos,",False,Title,Default Title,,,,,,,,1475.0,0.0,shopify,0.0,deny,manual,20581.0,,True,True,100012290-1,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft,"Productos, Repuestos, Ring","NO, O",,"Ring, O, Productos, NO, Repuestos"
