Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
valvula-admision-escape-cbf-150-original-hero-1,"VALVULA ADMISION ESCAPE CBF-150 ""ORIGINAL HERO""",,700013126,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3684,0.0,shopify,254,deny,manual,43000.00,,TRUE,TRUE,700013126,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-escape-boxer-ct100-tec-genuine-bajaj-1,"VALVULA ADMISION ESCAPE BOXER-CT100 TEC ""GENUINE BAJAJ""",,700013122,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3683,0.0,shopify,0,deny,manual,22500.00,,TRUE,TRUE,700013122,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-escape-xpulse-200-original-hero,"VALVULA ADMISION ESCAPE XPULSE-200 ""ORIGINAL HERO""",,700013121,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3682,0.0,shopify,0,deny,manual,68000.00,,TRUE,TRUE,700013121,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-escape-eco-deluxe-original-hero,"VALVULA ADMISION ESCAPE ECO DELUXE ""ORIGINAL HERO""",,700013120,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3681,0.0,shopify,0,deny,manual,27000.00,,TRUE,TRUE,700013120,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-escape-gixxer-250-original-suzuki,"VALVULA ESCAPE GIXXER-250 ""ORIGINAL SUZUKI""",,700013051,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3680,0.0,shopify,0,deny,manual,19000.00,,TRUE,TRUE,700013051,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-gixxer-250-original-suzuki,"VALVULA ADMISION GIXXER-250 ""ORIGINAL SUZUKI""",,700013050,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3679,0.0,shopify,0,deny,manual,12000.00,,TRUE,TRUE,700013050,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-gixxer-150-original-suzuki,"VALVULA ADMISION GIXXER-150 ""ORIGINAL SUZUKI""",,700013048,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3678,0.0,shopify,50,deny,manual,13300.00,,TRUE,TRUE,700013048,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-escape-discover-125st-genuine-bajaj-1,"VALVULA ESCAPE DISCOVER-125ST ""GENUINE BAJAJ""",,700013047,,Producto,"andina, casa700, Disco, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3677,0.0,shopify,1,deny,manual,11500.00,,TRUE,TRUE,700013047,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-discover-125st-genuine-bajaj-1,"VALVULA ADMISION DISCOVER-125ST ""GENUINE BAJAJ""",,700013046,,Producto,"andina, casa700, Disco, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3676,0.0,shopify,0,deny,manual,11500.00,,TRUE,TRUE,700013046,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-escape-pulsar-200ns-genuine-bajaj-1,"VALVULA ESCAPE PULSAR-200NS ""GENUINE BAJAJ""",,700013045,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3675,0.0,shopify,0,deny,manual,24200.00,,TRUE,TRUE,700013045,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-pulsar-200ns-genuine-bajaj-1,"VALVULA ADMISION PULSAR-200NS ""GENUINE BAJAJ""",,700013044,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3674,0.0,shopify,0,deny,manual,13500.00,,TRUE,TRUE,700013044,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-discover-100m-genuine-bajaj-2,"VALVULA ADMISION DISCOVER-100M ""GENUINE BAJAJ""",,700013042,,Producto,"andina, casa700, Disco, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3673,0.0,shopify,96,deny,manual,9500.00,,TRUE,TRUE,700013042,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
valvula-admision-pulsar-150ns-genuine-bajaj-1,"VALVULA ADMISION PULSAR-150NS ""GENUINE BAJAJ""",,700013040,,Producto,"andina, casa700, productos no fabricados, repuestos, Válvula",FALSE,Title,Default Title,,,,,,,,3672,0.0,shopify,54,deny,manual,12500.00,,TRUE,TRUE,700013040,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
tensor-hidraulico-gixxer-250-original-suzuki,"TENSOR HIDRAULICO GIXXER-250 ""ORIGINAL SUZUKI""",,700012973,,Producto,"andina, casa700, productos no fabricados, repuestos, Tensor",FALSE,Title,Default Title,,,,,,,,3671,0.0,shopify,0,deny,manual,32900.00,,TRUE,TRUE,700012973,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
tensor-hidraulico-gixxer-150-original-suzuki,"TENSOR HIDRAULICO GIXXER-150 ""ORIGINAL SUZUKI""",,700012972,,Producto,"andina, casa700, productos no fabricados, repuestos, Tensor",FALSE,Title,Default Title,,,,,,,,3670,0.0,shopify,0,deny,manual,24500.00,,TRUE,TRUE,700012972,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
tensor-hidraulico-pulsar-200ns-genuine-bajaj-1,"TENSOR HIDRAULICO PULSAR-200NS ""GENUINE BAJAJ""",,700012971,,Producto,"andina, casa700, productos no fabricados, repuestos, Tensor",FALSE,Title,Default Title,,,,,,,,3669,0.0,shopify,0,deny,manual,18000.00,,TRUE,TRUE,700012971,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
tensor-hidraulico-boxer-ct100-tec-genuine-bajaj-1,"TENSOR HIDRAULICO BOXER-CT100 TEC ""GENUINE BAJAJ""",,700012970,,Producto,"andina, casa700, productos no fabricados, repuestos, Tensor",FALSE,Title,Default Title,,,,,,,,3668,0.0,shopify,158,deny,manual,9500.00,,TRUE,TRUE,700012970,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
tapa-radiador-metalica-pulsar-200ns-genuine-bajaj-1,"TAPA RADIADOR METALICA PULSAR-200NS ""GENUINE BAJAJ""",,700012930,,Producto,"andina, casa700, productos no fabricados, repuestos, Tapa",FALSE,Title,Default Title,,,,,,,,3667,0.0,shopify,0,deny,manual,17000.00,,TRUE,TRUE,700012930,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
switche-presion-aceite-pulsar-200ns-genuine-bajaj,"SWITCHE PRESION ACEITE PULSAR-200NS ""GENUINE BAJAJ""",,700012890,,Producto,"andina, casa700, productos no fabricados, repuestos, Switche",FALSE,Title,Default Title,,,,,,,,3666,0.0,shopify,0,deny,manual,21000.00,,TRUE,TRUE,700012890,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
sellos-de-valvula-cbf-150-original-hero,"SELLOS DE VALVULA CBF-150 ""ORIGINAL HERO""",,700012793,,Producto,"andina, casa700, productos no fabricados, repuestos, Sello, Válvula",FALSE,Title,Default Title,,,,,,,,3665,0.0,shopify,0,deny,manual,4100.00,,TRUE,TRUE,700012793,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
