Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
conjunto-pinon-velocimetro-akt-125-tt-crown,"CONJUNTO PINON VELOCIMETRO AKT-125 TT ""CROWN""",,100011152,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,168,0.0,shopify,0,deny,manual,9117.00,,TRUE,TRUE,100011152,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
conjunto-pinon-velocimetro-negro-akt-125sl-crown,"CONJUNTO PINON VELOCIMETRO (NEGRO) AKT-125SL ""CROWN""",,100011151,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,167,0.0,shopify,0,deny,manual,8992.00,,TRUE,TRUE,100011151,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
conjunto-pinon-velocimetro-gris-akt-125s-crown,"CONJUNTO PINON VELOCIMETRO (GRIS) AKT-125S ""CROWN""",,100011150,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,166,0.0,shopify,0,deny,manual,8997.00,,TRUE,TRUE,100011150,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
conjunto-pinon-velocimetro-bws-125-crown,"CONJUNTO PINON VELOCIMETRO BWS-125 ""CROWN""",,100011149,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,165,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011149,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
conjunto-pinon-velocimetro-bws-100-crown,"CONJUNTO PINON VELOCIMETRO BWS-100 ""CROWN""",,100011148,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,164,0.0,shopify,0,deny,manual,9364.00,,TRUE,TRUE,100011148,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
conector-filtro-aire-akt-125-evo-crown,"CONECTOR FILTRO AIRE AKT-125 EVO ""CROWN""",,100011140,,Producto,"andina, casa800, Filtro, productos no fabricados, repuestos",TRUE,Title,Default Title,,,,,,,,163,0.0,shopify,103,deny,manual,3180.00,,TRUE,TRUE,100011140,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
conector-filtro-aire-gn-125-crown,"CONECTOR FILTRO AIRE GN-125 ""CROWN""",,100011139,,Producto,"andina, casa100, Filtro, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,162,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,100011139,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-eco-100-crown,"COMANDO IZQUIERDO ECO-100 ""CROWN""",,100011123,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,161,0.0,shopify,0,deny,manual,15578.00,,TRUE,TRUE,100011123,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-c100-wave-crown,"COMANDO IZQUIERDO C100-WAVE ""CROWN""",,100011122,,Producto,"andina, casa800, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,160,0.0,shopify,0,deny,manual,25900.00,,TRUE,TRUE,100011122,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
comando-izquierdo-ax-4-crown,"COMANDO IZQUIERDO AX-4 ""CROWN""",,100011121,,Producto,"andina, casa100, productos no fabricados, repuestos",FALSE,Title,Default Title,,,,,,,,159,0.0,shopify,0,deny,manual,19260.00,,TRUE,TRUE,100011121,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
