Handle,Title,Body (HTML),Vendor,ORDEN,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
porta-sprocket-eco100-eco100-crown-1,"PORTA SPROCKET ""CROWN"" ECO 100+/ECO 100",,800012461,875,,Producto,"100, Andina, Eco, Porta, Porta Sprocket, Productos, Repuestos, Splendor",TRUE,Title,Default Title,,,,,,,,2405.0,0.0,shopify,1,deny,manual,19420.00,,TRUE,TRUE,800012461,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800012461.1.jpg?v=1752167066,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
porta-sprocket-eco100-eco100-crown-1,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800012461_04676493-09b8-4032-8bbe-d7eae3769d35.jpg?v=1752167066,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reposapie-pasajero-der-izq-fz-16-inyection-crown,"REPOSAPIE PASAJERO DER-IZQ FZ-16 INYECTION ""CROWN""",,500012648,#N/A,,Producto,"Andina, Productos, Reposapie, Repuestos",FALSE,Title,Default Title,,,,,,,,2404.0,0.0,shopify,0,deny,manual,14276.00,,TRUE,TRUE,500012648,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
reposapie-conductor-der-izq-x-2-pcs-fz-16-inyection-crown,"REPOSAPIE CONDUCTOR DER-IZQ X 2 PCS FZ-16 INYECTION ""CROWN""",,500012647,#N/A,,Producto,"Andina, Productos, Reposapie, Repuestos",FALSE,Title,Default Title,,,,,,,,2403.0,0.0,shopify,0,deny,manual,19400.00,,TRUE,TRUE,500012647,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
automatico-trasero-completo-bws-125-crown,"AUTOMATICO TRASERO ""CROWN"" BWS-125",,800010191,154,,Producto,"Andina, Automático Trasero, Productos, Repuestos, Trasero",TRUE,Title,Default Title,,,,,,,,2402.0,0.0,shopify,112,deny,manual,156200.00,,TRUE,TRUE,800010191,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800010191.3.jpg?v=1752167068,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
kit-discos-clutch-x-2-pcs-crypton-115-24t-crown,"KIT DISCOS CLUTCH X  2 PCS CRYPTON-115 (24T) ""CROWN""",,800011450,#N/A,,Producto,"Andina, Clutch, Disco, Kit, Kit Discos, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2401.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011450,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
kit-discos-clutchx-2-pcs-crypton-115-18t-crown,"KIT DISCOS CLUTCHX 2 PCS CRYPTON-115 (18T) ""CROWN",,800011451,#N/A,,Producto,"Andina, Clutch, Disco, Kit, Kit Discos, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2400.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011451,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-crypton-115-24t-crown,"CENTRO Y PLATO EMBRAGUE CRYPTON-115 (24T) ""CROWN""",,800011041,#N/A,,Producto,"Andina, Centro, Productos, Repuestos, Y",FALSE,Title,Default Title,,,,,,,,2399.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011041,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
centro-y-plato-embrague-crypton-115-18t-crown,"CENTRO Y PLATO EMBRAGUE CRYPTON-115 (18T) ""CROWN""",,800011042,#N/A,,Producto,"Andina, Centro, Productos, Repuestos, Y",FALSE,Title,Default Title,,,,,,,,2398.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011042,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
eje-pedal-arranque-bws-125-crown,"EJE PEDAL ARRANQUE BWS-125 ""CROWN""",,800011503,#N/A,,Producto,"Andina, Eje, Ejes Pedal, Pedal, Pedales, Productos, Repuestos",FALSE,Title,Default Title,,,,,,,,2397.0,0.0,shopify,0,deny,manual,0.00,,TRUE,TRUE,800011503,,,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,draft
