Handle,Title,Body (HTML),Vendor,ORDEN,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
anillos-0-50-akt-125-w-flex-crown,"2.0.Importadora Andina de Repuestos ANILLOS 0,50 AKT-125 W FLEX ""CROWN""",,Importadora Andina de Repuestos,,,Producto,"Andina, Anillo, Anillos, Productos, Repuestos",False,Title,Default Title,,,,,,,,1210.0,0.0,shopify,0.0,deny,manual,7250.0,,True,True,,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
anillos-0-25-akt-125-w-flex-crown,"2.0.800600006 ANILLOS 0 25 AKT-125 W FLEX ""CROWN""",,800600006,,,Producto,"Andina, Anillo, Anillos, Productos, Repuestos",False,Title,Default Title,,,,,,,,1209.0,0.0,shopify,0.0,deny,manual,7250.0,,True,True,800600006,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
anillos-std-akt-125-w-flex-crown,"2.0.800600005 ANILLOS STD AKT-125 W FLEX ""CROWN""",,800600005,,,Producto,"Andina, Anillo, Anillos, Productos, Repuestos",False,Title,Default Title,,,,,,,,1208.0,0.0,shopify,0.0,deny,manual,0.0,,True,True,800600005,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
anillos-0-50-akt-110-crown,"2.0.800600003 ANILLOS X5 PCS 0.50 ""CROWN"" AKT-110/SCOOTER-125",,800600003,27.0,,Producto,"110, Akt, Andina, Anillo, Anillos, Productos, Repuestos",True,Title,Default Title,,,,,,,,1207.0,0.0,shopify,278.0,deny,manual,8950.0,,True,True,800600003,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600003.jpg?v=1752167877,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
anillos-0-25-akt-110-crown,"2.0.800600002 ANILLOS X5 PCS 0,25 ""CROWN"" AKT-110/SCOOTER-125",,800600002,26.0,,Producto,"110, 125, Akt, Andina, Anillo, Anillos, Productos, Repuestos, Scooter",True,Title,Default Title,,,,,,,,1206.0,0.0,shopify,367.0,deny,manual,8950.0,,True,True,800600002,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600002.jpg?v=1752167878,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
anillos-std-akt-110-crown,"2.0.800600001 ANILLOS X5 PCS STD ""CROWN"" AKT-110-SCOOTER-125",,800600001,25.0,,Producto,"110, 125, Akt, Andina, Anillo, Anillos, Productos, Repuestos, Scooter",True,Title,Default Title,,,,,,,,1205.0,0.0,shopify,458.0,deny,manual,8950.0,,True,True,800600001,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600001.jpg?v=1752167879,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
varilla-impulsora-akt-125s-crown,"92.0.800013440 VARILLA IMPULSORA X2 PCS ""CROWN"" AKT-125S/SL-NKD/TT-125-150",,800013440,1061.0,,Producto,"125, 150, Akt, Andina, CG, Nkd, Nxr, Productos, Repuestos, TT, Varilla Impulsora, Xlr",True,Title,Default Title,,,,,,,,1204.0,0.0,shopify,751.0,deny,manual,2600.0,,True,True,800013440,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800013440.jpg?v=1752167880,1.0,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active
varilla-freno-trasero-eco-deluxe-crown,"nan.800013420 VARILLA FRENO TRASERO ECO DELUXE ""CROWN""",,800013420,,,Producto,"Andina, Productos, Repuestos",False,Title,Default Title,,,,,,,,1203.0,0.0,shopify,0.0,deny,manual,0.0,,True,True,800013420,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-tvs-100-sport-crown,"91.0.800013371 VALVULA ADMISION ESCAPE X 2 PCS TVS-100 SPORT ""CROWN""",,800013371,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1202.0,0.0,shopify,0.0,deny,manual,9000.0,,True,True,800013371,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
valvula-admision-escape-x-2-pcs-bws-125-crown,"91.0.800013370 VALVULA ADMISION ESCAPE X 2 PCS BWS-125 ""CROWN""",,800013370,,,Producto,"Andina, Productos, Repuestos, Válvulas Plus",False,Title,Default Title,,,,,,,,1201.0,0.0,shopify,0.0,deny,manual,8100.0,,True,True,800013370,,,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,draft
