Handle,Codigo,Title,Grupo,Body (HTML),Vendor,Product Category,Type,Tags,Tags Formula,Tags v2,Formula,Tags v3,Formula.1,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status,Title_Final,Observacion
reten-12-x-22-x-9-ax-100-crown,800900022.0,"RETEN 12 X 22 X 9 (BOLSA X10) ""CROWN"" AX-100/DISCOVER-125/PULSAR-180/TS-125/GN-125H/APACHE-160/180",107,,800900022.0,,Producto,"RETENES, AX-100, DISCOVER-125, PULSAR-180, TS-125, GN-125H, APACHE-160, 180","RETENES, AX-100, DISCOVER-125, PULSAR-180, TS-125, GN-125H, APACHE-160, 180",RETENES,RETENES,"AX-100, DISCOVER-125, PULSAR-180, TS-125, GN-125H, APACHE-160, 180",AX-100/DISCOVER-125/PULSAR-180/TS-125/GN-125H/APACHE-160/180,True,Title,Default Title,,,,,,,,800900022.0,0.0,shopify,2600.0,deny,manual,1100.0,,True,True,800900022.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900022.jpg?v=1753257479,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.003.RETEN 12 X 22 X 9 (BOLSA X10) ""CROWN"" AX-100/DISCOVER-125/PULSAR-180/TS-125/GN-125H/APACHE-160/180",
reten-13-x-22-x-5-5-boxer-bolsa-x-10-crown,800900023.0,"RETEN 13 X 22 X 5,5 (BOLSA X10) ""CROWN"" BOXER/PLATINO-100/NEO-MAX",107,,800900023.0,,Producto,"RETENES, BOXER, PLATINO-100, NEO-MAX","RETENES, BOXER, PLATINO-100, NEO-MAX",RETENES,RETENES,"BOXER, PLATINO-100, NEO-MAX",BOXER/PLATINO-100/NEO-MAX,True,Title,Default Title,,,,,,,,800900023.0,0.0,shopify,562.0,deny,manual,880.0,,True,True,800900023.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900023.jpg?v=1753257477,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.004.RETEN 13 X 22 X 5,5 (BOLSA X10) ""CROWN"" BOXER/PLATINO-100/NEO-MAX",
reten-14-x-24-x-6-vivax-115-bolsa-x-10-crown-2,800900025.0,"RETEN 14 X 24 X 6 (BOLSA X10) ""CROWN"" VIVAX-115/RX-100/RX-115/FR-80",107,,800900025.0,,Producto,"RETENES, VIVAX-115, RX-100, RX-115, FR-80","RETENES, VIVAX-115, RX-100, RX-115, FR-80",RETENES,RETENES,"VIVAX-115, RX-100, RX-115, FR-80",VIVAX-115/RX-100/RX-115/FR-80,True,Title,Default Title,,,,,,,,800900025.0,0.0,shopify,260.0,deny,manual,1100.0,,True,True,800900025.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900025.jpg?v=1753257475,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.005.RETEN 14 X 24 X 6 (BOLSA X10) ""CROWN"" VIVAX-115/RX-100/RX-115/FR-80",
reten-14-x-25-x-5-dt-125k-bolsa-x-10-crown-1,800900027.0,"RETEN 14 X 25 X 5 (BOLSA X10) ""CROWN"" DT-125K",107,,800900027.0,,Producto,"RETENES, DT-125K","RETENES, DT-125K",RETENES,RETENES,DT-125K,DT-125K,True,Title,Default Title,,,,,,,,800900027.0,0.0,shopify,90.0,deny,manual,1080.0,,True,True,800900027.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900027.jpg?v=1753257474,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.006.RETEN 14 X 25 X 5 (BOLSA X10) ""CROWN"" DT-125K",
reten-14-x-28-x-7-akt-125tt-crown,800900028.0,RETEN 14 X 28 X 7 (BOLSA X 10 PCS) AK-125/XL-125/CBZ-160/STORM-125,107,,800900028.0,,Producto,"RETENES, AK-125, XL-125, CBZ-160, STORM-125","RETENES, AK-125, XL-125, CBZ-160, STORM-125",RETENES,RETENES,"AK-125, XL-125, CBZ-160, STORM-125",AK-125/XL-125/CBZ-160/STORM-125,True,Title,Default Title,,,,,,,,800900028.0,0.0,shopify,290.0,deny,manual,1150.0,,True,True,800900028.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900028.jpg?v=1753257001,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,107.007.RETEN 14 X 28 X 7 (BOLSA X 10 PCS) AK-125/XL-125/CBZ-160/STORM-125,
reten-16-x-26-x-7-boxer-bolsa-x-10-crown-1,800900029.0,"RETEN 16 X 26 X 7 (BOLSA X10) ""CROWN"" BOXER-100/CT-100/PULSAR-135/DISCOVER-100/125ST",107,,800900029.0,,Producto,"RETENES, BOXER-100, CT-100, PULSAR-135, DISCOVER-100, 125ST","RETENES, BOXER-100, CT-100, PULSAR-135, DISCOVER-100, 125ST",RETENES,RETENES,"BOXER-100, CT-100, PULSAR-135, DISCOVER-100, 125ST",BOXER-100/CT-100/PULSAR-135/DISCOVER-100/125ST,True,Title,Default Title,,,,,,,,800900029.0,0.0,shopify,260.0,deny,manual,1150.0,,True,True,800900029.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900029.jpg?v=1753257472,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.008.RETEN 16 X 26 X 7 (BOLSA X10) ""CROWN"" BOXER-100/CT-100/PULSAR-135/DISCOVER-100/125ST",
reten-16-x-30-x-8-ax-100-bolsa-x10-crown,800900031.0,"RETEN 16 X30 X 8 (BOLSA X10) ""CROWN"" AX-100/GP-125/TS-125 ER/FR-80",107,,800900031.0,,Producto,"RETENES, AX-100, GP-125, TS-125 ER, FR-80","RETENES, AX-100, GP-125, TS-125 ER, FR-80",RETENES,RETENES,"AX-100, GP-125, TS-125 ER, FR-80",AX-100/GP-125/TS-125 ER/FR-80,True,Title,Default Title,,,,,,,,800900031.0,0.0,shopify,290.0,deny,manual,1070.0,,True,True,800900031.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900031.jpg?v=1753257363,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.009.RETEN 16 X30 X 8 (BOLSA X10) ""CROWN"" AX-100/GP-125/TS-125 ER/FR-80",
reten-17-x-29-x-5-eco-100-bolsa-x-10-crown,800900033.0,"RETEN 17 X 29 X 5 (BOLSA X 10) ""CROWN"" ECO-100+/SPLENDOR/ECO DELUXE/C-100 WAVE",107,,800900033.0,,Producto,"RETENES, ECO-100 , ECO-100+,  SPLENDOR, ECO DELUXE STARTER, C-100 WAVE, C-70, C-90","RETENES, ECO-100 , ECO-100+,  SPLENDOR, ECO DELUXE STARTER, C-100 WAVE, C-70, C-90",RETENES,RETENES,"ECO-100 , ECO-100+,  SPLENDOR, ECO DELUXE STARTER, C-100 WAVE, C-70, C-90",ECO-100  / ECO-100+ /  SPLENDOR / ECO DELUXE STARTER / C-100 WAVE / C-70 / C-90,True,Title,Default Title,,,,,,,,800900033.0,0.0,shopify,422.0,deny,manual,1080.0,,True,True,800900033.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900033.jpg?v=1753256935,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.010.RETEN 17 X 29 X 5 (BOLSA X 10) ""CROWN"" ECO-100+/SPLENDOR/ECO DELUXE/C-100 WAVE",
reten-17-x-31-x-7-boxer-crown,800900035.0,"RETEN 17 X31 X 7 (BOLSA X10) ""CROWN"" BOXER CT100/TEC/K-TEC/UG",107,,800900035.0,,Producto,"RETENES, BOXER CT100, TEC, K-TEC, UG","RETENES, BOXER CT100, TEC, K-TEC, UG",RETENES,RETENES,"BOXER CT100, TEC, K-TEC, UG",BOXER CT100/TEC/K-TEC/UG,True,Title,Default Title,,,,,,,,800900035.0,0.0,shopify,360.0,deny,manual,1360.0,,True,True,800900035.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900035.jpg?v=1753257361,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.011.RETEN 17 X31 X 7 (BOLSA X10) ""CROWN"" BOXER CT100/TEC/K-TEC/UG",
reten-18-9-x-28-x-5eco-deluxe-bolsa-x-10-crown,800900036.0,"RETEN 18.9 X 28 X 5 (BOLSA X10) ""CROWN"" ECO DELUXE/BIZ-100 STARTER/SPLENDOR-NXG",107,,800900036.0,,Producto,"RETENES, ECO DELUXE, BIZ-100 STARTER, SPLENDOR-NXG","RETENES, ECO DELUXE, BIZ-100 STARTER, SPLENDOR-NXG",RETENES,RETENES,"ECO DELUXE, BIZ-100 STARTER, SPLENDOR-NXG",ECO DELUXE/BIZ-100 STARTER/SPLENDOR-NXG,True,Title,Default Title,,,,,,,,800900036.0,0.0,shopify,1416.0,deny,manual,1200.0,,True,True,800900036.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900036.jpg?v=1753257470,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,"107.012.RETEN 18.9 X 28 X 5 (BOLSA X10) ""CROWN"" ECO DELUXE/BIZ-100 STARTER/SPLENDOR-NXG",
reten-18-9-x-30-5-eco-100-crown,800900037.0,RETEN 18.9 X 30.5 (BOLSA X 10 PCS) ECO-100,107,,800900037.0,,Producto,"RETENES, ECO-100","RETENES, ECO-100",RETENES,RETENES,ECO-100,ECO-100,True,Title,Default Title,,,,,,,,800900037.0,0.0,shopify,410.0,deny,manual,910.0,,True,True,800900037.0,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800900037.jpg?v=1753257000,1,,False,,,,,,,,,,,,,,,,,,,,kg,,,True,,,active,107.013.RETEN 18.9 X 30.5 (BOLSA X 10 PCS) ECO-100,
