Handle,Codigo,Title,Grupo,Body (HTML),Vendor,Product Category,Type,Tags,Tags Formula,Tags v2,Formula,Tags v3,Formula,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Status
anillos-0-50-discover-100-crown,800600192,"ANILLOS 0.50 DISCOVER-100 ""CROWN""",2,,800600192,,Producto,"ANILLOS, DISCOVER -100, BOXER BM100 STARTER","ANILLOS, DISCOVER -100, BOXER BM100 STARTER",ANILLOS,ANILLOS,"DISCOVER -100, BOXER BM100 STARTER",DISCOVER -100/BOXER BM100 STARTER,TRUE,Title,Default Title,,,,,,,,800600192,0.0,shopify,10,deny,manual,9770.00,,TRUE,TRUE,800600192,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600192.jpg?v=1753257796,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-75-c-90-crown,800600173,"ANILLOS 0.75 ""CROWN"" C-90",2,,800600173,,Producto,"ANILLOS, C-90","ANILLOS, C-90",ANILLOS,ANILLOS,C-90,C-90,TRUE,Title,Default Title,,,,,,,,800600173,0.0,shopify,95,deny,manual,9680.00,,TRUE,TRUE,800600173,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600173.jpg?v=1753256720,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-75-eco-deluxe-crown,800600123,"ANILLOS 0.75 ""CROWN"" ECODELUXE/WAVE100/SPLENDOR",2,,800600123,,Producto,"ANILLOS, ECODELUXE, WAVE100, ECO100, ECO100+,  CD100 SLEEK","ANILLOS, ECODELUXE, WAVE100, ECO100, ECO100+,  CD100 SLEEK",ANILLOS,ANILLOS,"ECODELUXE, WAVE100, ECO100, ECO100+,  CD100 SLEEK",ECODELUXE/WAVE100/ECO100/ECO100+/ CD100 SLEEK,TRUE,Title,Default Title,,,,,,,,800600123,0.0,shopify,83,deny,manual,8650.00,,TRUE,TRUE,800600123,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600123.jpg?v=1753256679,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-0-75-wave-110-crown,800600163,"ANILLOS 0.75 WAVE-110 ""CROWN""",2,,800600163,,Producto,ANILLOS,", ",,#N/A,,#N/A,TRUE,Title,Default Title,,,,,,,,800600163,0.0,shopify,0,deny,manual,9414.00,,TRUE,TRUE,800600163,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600163.jpg?v=1753256957,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-1-00-wave-110-crown,800600164,"ANILLOS 1,00 WAVE-110 ""CROWN""",2,,800600164,,Producto,ANILLOS,", ",,#N/A,,#N/A,TRUE,Title,Default Title,,,,,,,,800600164,0.0,shopify,0,deny,manual,9414.00,,TRUE,TRUE,800600164,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600164.jpg?v=1753256955,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-1-00-c-90-crown,800600174,"ANILLOS 1.00 ""CROWN"" C-90",2,,800600174,,Producto,"ANILLOS, C-90","ANILLOS, C-90",ANILLOS,ANILLOS,C-90,C-90,TRUE,Title,Default Title,,,,,,,,800600174,0.0,shopify,132,deny,manual,9680.00,,TRUE,TRUE,800600174,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600174.jpg?v=1753256719,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-1-00-cbf-125-crown,800600144,"ANILLOS 1.00 ""CROWN"" CBF-125",2,,800600144,,Producto,"ANILLOS, CBF-125","ANILLOS, CBF-125",ANILLOS,ANILLOS,CBF-125,CBF-125,TRUE,Title,Default Title,,,,,,,,800600144,0.0,shopify,16,deny,manual,11500.00,,TRUE,TRUE,800600144,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600144.jpg?v=1753256715,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-1-00-eco-deluxe-crown,800600124,"ANILLOS 1.00 ""CROWN"" ECODELUXE/WAVE100/SPLENDOR",2,,800600124,,Producto,ANILLOS,", ",,#N/A,,#N/A,TRUE,Title,Default Title,,,,,,,,800600124,0.0,shopify,0,deny,manual,10100.00,,TRUE,TRUE,800600124,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600124.jpg?v=1753256678,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-std-ax-4-crown,800600440,"ANILLOS STD  AX-4 ""CROWN""",2,,800600440,,Producto,"ANILLOS, AX-4, VIVA-R","ANILLOS, AX-4, VIVA-R",ANILLOS,ANILLOS,"AX-4, VIVA-R",AX-4/VIVA-R,TRUE,Title,Default Title,,,,,,,,800600440,0.0,shopify,128,deny,manual,8950.00,,TRUE,TRUE,800600440,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600440.jpg?v=1753257490,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
anillos-std-fd-125-best-125,800600460,"ANILLOS STD ""CROWN"" BEST-125/VIVAX-115/VIVA-115",2,,800600460,,Producto,"ANILLOS, BEST-125, VIVAX-115, VIVA-115","ANILLOS, BEST-125, VIVAX-115, VIVA-115",ANILLOS,ANILLOS,"BEST-125, VIVAX-115, VIVA-115",BEST-125/VIVAX-115/VIVA-115,TRUE,Title,Default Title,,,,,,,,800600460,0.0,shopify,150,deny,manual,10850.00,,TRUE,TRUE,800600460,https://cdn.shopify.com/s/files/1/0942/7527/3016/files/800600460.jpg?v=1753256977,1,,FALSE,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
